"Liturgical Year","Date","Day of Week","Class","Obligatory","Colour","Mass","Commemoration","Folder"
2020,26-1-2020,"Sunday","II","+","green","3rd Sunday after Epiphany","","./1962/Epiphany/3/Sunday/"
2020,27-1-2020,"Monday","III","","white","St. John Chrysostom Bishop, Confessor, and Doctor of the Church, III class.","","./1962/Epiphany/1/Sunday/"
2020,28-1-2020,"Tuesday","III","","white","St. Peter Nolasco Confessor, III class","Com. of St. Agnes, Virgin and Martyr second.","./1962/1/28/"
2020,29-1-2020,"Wednesday","III","","white","St. Francis de Sales Bishop, Confessor, and Doctor of the Church, III class.","","./1962/1/29/"
2020,30-1-2020,"Thursday","III","","red","St. Martina Virgin and Martyr, III class.","","./1962/1/30/"
2020,31-1-2020,"Friday","III","","white","St. John Bosco Confessor, III class.","","./1962/1/31/"
2020,1-2-2020,"Saturday","III","","red","St. Ignatius Bishop and Martyr, III class.","","./1962/2/1/"
2020,2-2-2020,"Sunday","II","","white","On the Purification of the Blessed Virgin Mary, II class.","","./1962/Epiphany/4/Sunday/"
2020,3-2-2020,"Monday","IV","","red","Commemoration of St. Blase Bishop and Martyr, Comm.","","./1962/Epiphany/1/Sunday/"
2020,4-2-2020,"Tuesday","III","","white","St. Andrew Corsini Bishop and Confessor, III class.","","./1962/2/4/"
2020,5-2-2020,"Wednesday","III","","white","St. Agatha Virgin and Martyr, III class.","","./1962/2/5/"
2020,6-2-2020,"Thursday","III","","white","St. Titus Bishop and Confessor, III class","Com. of St. Dorothy Virgin and Martyr.","./1962/2/6/"
2020,7-2-2020,"Friday","III","","white","St. Romuald Abbot, III class.","","./1962/2/7/"
2020,8-2-2020,"Saturday","III","","white","St. John of Matha Confessor, III class.","","./1962/2/8/"
2020,9-2-2020,"Sunday","II","+","violet","Septuagesima Sunday","","./1962/Septuagesima/"
2020,10-2-2020,"Monday","III","","white","St. Scholastica Virgin, III class.","","./1962/2/10/"
2020,11-2-2020,"Tuesday","III","","white","On the Apparition of the Blessed Virgin Mary Immaculate, III class.","","./1962/2/11/"
2020,12-2-2020,"Wednesday","III","","white","The Seven Holy Founders of the Order of Servants of the Blessed Virgin Mary Confessors, III class.","","./1962/2/12/"
2020,13-2-2020,"Thursday","IV","","green","Feria","","./1962/2/13/"
2020,14-2-2020,"Friday","IV","","red","Feria","Commemoration of St. Valentine Priest and Martyr, Comm.","./1962/2/14/"
2020,15-2-2020,"Saturday","IV","","white","Saturday of Our Lady","Commemoration of Ss.Faustinus and Jovita Martyrs, Comm.","./1962/2/15/"
2020,16-2-2020,"Sunday","II","+","violet","Sexagesima Sunday","","./1962/Sexagesima/"
2020,17-2-2020,"Monday","IV","","green","Feria","","./1962/2/17/"
2020,18-2-2020,"Tuesday","IV","","red","Feria","Commemoration of St. Simeon Bishop and Martyr, Comm.","./1962/2/18/"
2020,19-2-2020,"Wednesday","IV","","green","Feria","","./1962/2/19/"
2020,20-2-2020,"Thursday","IV","","green","Fat Thursday","","./1962/2/20/"
2020,21-2-2020,"Friday","IV","","green","Feria","","./1962/2/21/"
2020,22-2-2020,"Saturday","II","","white","Chair of St. Peter, II class","Com. of St. Paul.","./1962/2/22/"
2020,23-2-2020,"Sunday","II","+","violet","Quinquagesima Sunday","","./1962/Quinquagesima/"
2020,24-2-2020,"Monday","III","","green","Shrove Monday","","./1962/2/24/"
2020,25-2-2020,"Tuesday","II","","red","St. Matthias Apostle, II class.","","./1962/2/25/"
2020,26-2-2020,"Wednesday","I","+","violet","Ash Wednesday","","./1962/Lent/1/Wednesday/"
2020,27-2-2020,"Thursday","III","","violet","Thursday after Ash Wednesday","","./1962/Lent/Ash/Thursday/"
2020,28-2-2020,"Friday","III","","white","St. Gabriel of Our Lady of Sorrows, III class","","./1962/Lent/Ash/Friday/"
2020,29-2-2020,"Saturday","III","","violet","Saturday after Ash Wednesday","","./1962/Lent/Ash/Saturday/"
2020,1-3-2020,"Sunday","I","+","violet","1st Sunday of Lent","","./1962/Lent/1/Sunday/"
2020,2-3-2020,"Monday","III","","violet","Feria of Lent","","./1962/Lent/1/Monday/"
2020,3-3-2020,"Tuesday","III","","violet","Feria of Lent","","./1962/Lent/1/Tuesday/"
2020,4-3-2020,"Wednesday","II","","violet","Ember Wednesday in Lent","","./1962/Lent/1/Wednesday/"
2020,5-3-2020,"Thursday","III","","violet","Feria of Lent","","./1962/Lent/1/Thursday/"
2020,6-3-2020,"Friday","II","","violet","Ember Friday in Lent","","./1962/Lent/1/Friday/"
2020,7-3-2020,"Saturday","II","","violet","Ember Saturday in Lent","","./1962/Lent/1/Saturday/"
2020,8-3-2020,"Sunday","I","+","violet","2nd Sunday of Lent","","./1962/Lent/2/Sunday/"
2020,9-3-2020,"Monday","III","","violet","Feria of Lent","St. Frances of Rome Widow, III class.","./1962/Lent/2/Monday/"
2020,10-3-2020,"Tuesday","III","","violet","Feria of Lent","The Forty Holy Martyrs, III class.","./1962/Lent/2/Tuesday/"
2020,11-3-2020,"Wednesday","III","","violet","Feria of Lent","","./1962/Lent/2/Wednesday/"
2020,12-3-2020,"Thursday","III","","violet","Feria of Lent","St. Gregory I Pope, Confessor, and Doctor of the Church, III class.","./1962/Lent/2/Thursday/"
2020,13-3-2020,"Friday","III","","violet","Feria of Lent","","./1962/Lent/2/Friday/"
2020,14-3-2020,"Saturday","III","","violet","Feria of Lent","","./1962/Lent/2/Saturday/"
